id,SalePrice
1461,122296.61194464628
1462,165099.85700865003
1463,176550.24042367368
1464,186886.52131315524
1465,183026.69951389293
1466,180926.89817587496
1467,175847.67943946726
1468,168977.70967974723
1469,190704.4078890761
1470,125107.0779946365
1471,201022.51176880335
1472,92017.05326601167
1473,93198.02123229811
1474,154313.8633285686
1475,136388.8469266677
1476,384287.22358764015
1477,268424.9986362984
1478,293855.6976851884
1479,260849.8705007977
1480,497775.22581701627
1481,330272.1263837302
1482,210182.5351632054
1483,160822.09518100394
1484,162065.67207677732
1485,176621.44940219773
1486,193341.19751381103
1487,357497.8677164042
1488,235988.86341117445
1489,211645.09385197944
1490,216841.82530621142
1491,190116.95646180853
1492,82050.11271682374
1493,196317.8223421755
1494,290318.3292108822
1495,292783.28269602306
1496,225835.99897074915
1497,179717.70186630826
1498,157472.17593912393
1499,159661.56398632244
1500,141285.91596098623
1501,165286.13839534242
1502,155211.1867217103
1503,276337.5274017252
1504,236933.71659450533
1505,221339.4044615109
1506,199592.16285708078
1507,239042.3013356171
1508,190397.63357180174
1509,160836.80230124996
1510,147602.70633827752
1511,142524.91837743451
1512,171023.4137950903
1513,146282.32093895625
1514,166490.28379226543
1515,189028.75529140187
1516,162031.3655974318
1517,161883.2145526415
1518,137934.4557779252
1519,234854.8715706341
1520,132847.07762798655
1521,133928.02433915326
1522,169764.91209757127
1523,109263.33776503599
1524,125764.40844272578
1525,127437.40022766501
1526,126818.78288550905
1527,106552.13261700328
1528,136816.13123591145
1529,151090.03930411127
1530,182660.9782021473
1531,91983.99819291389
1532,99106.5933495541
1533,140224.98230444305
1534,120729.44889623733
1535,154208.15640805784
1536,113594.97864810578
1537,80237.41489886663
1538,180637.44911171528
1539,200271.8820811632
1540,93176.49065384126
1541,140129.78551896196
1542,134310.73433218568
1543,219957.89889690594
1544,80847.57181217425
1545,124261.89398810988
1546,131634.20043777282
1547,135284.51466268575
1548,143381.8006974013
1549,118918.71342409133
1550,144679.79630921726
1551,108565.88483944042
1552,142116.85711329815
1553,159108.5945121622
1554,102240.44254431834
1555,161117.08555822613
1556,75467.00314675662
1557,104700.14607712766
1558,93044.64041537138
1559,85967.57492972714
1560,128183.14622073047
1561,123009.54777342327
1562,129702.72590306285
1563,118555.00959852597
1564,158808.14828795465
1565,147394.37654919614
1566,229377.10305300055
1567,77050.30858501128
1568,214494.64055570262
1569,127814.64391604793
1570,131485.71863875227
1571,123133.04429574171
1572,151701.85476376727
1573,275663.0748734522
1574,119152.12083898693
1575,232662.8823738981
1576,223915.153244304
1577,194055.76678170872
1578,149595.3613826985
1579,151117.37488131292
1580,192717.66568932548
1581,153650.68545541374
1582,126415.26474430345
1583,335659.7109327794
1584,228000.29515777103
1585,136201.70206130604
1586,71558.98391468325
1587,99774.48348488125
1588,156139.53315806194
1589,102789.86927031734
1590,132877.51225504093
1591,93019.83254005315
1592,106977.36523757846
1593,132701.55683629375
1594,121524.64221357381
1595,106215.84847949419
1596,246694.9337349779
1597,183352.5399396587
1598,198928.1833269034
1599,187776.45789880384
1600,179615.8765957092
1601,74164.88876604493
1602,106163.97367301531
1603,92024.64903773749
1604,271876.4501908525
1605,253605.2486610101
1606,164552.5273496486
1607,182584.07919751081
1608,217646.24538112516
1609,192228.42975308467
1610,145251.7042188764
1611,141814.73442912265
1612,165835.21908776593
1613,155474.93988465928
1614,125911.36484832062
1615,87768.88941619007
1616,63274.37496181421
1617,92330.75015823886
1618,123991.41567143884
1619,146476.12318480236
1620,144828.55201065366
1621,133300.7452261097
1622,138377.25769245945
1623,301101.92411092966
1624,209783.82304630356
1625,131930.1748970863
1626,167040.9557337687
1627,187771.2222453669
1628,281286.79946233344
1629,179750.82081172845
1630,381372.9353667826
1631,227255.2344261212
1632,250965.4055987717
1633,171734.29600686298
1634,186953.56665877815
1635,182777.95659299436
1636,154641.58399645364
1637,181713.81926507657
1638,212963.5099996069
1639,184925.40157092782
1640,258187.047417168
1641,179252.0931140453
1642,218815.1063959351
1643,218695.03790322138
1644,224445.2277721805
1645,192916.65825077568
1646,152369.56366706814
1647,166123.628518903
1648,132423.87783596825
1649,137655.42314698783
1650,119855.67180604892
1651,126075.947469791
1652,93370.70081624501
1653,90672.93015237902
1654,147276.03176990012
1655,153748.165003782
1656,144607.11300473355
1657,144624.85584061503
1658,144160.47174731264
1659,144312.28247988867
1660,148811.45247208825
1661,443257.3689053076
1662,460990.16319194174
1663,400442.5576230718
1664,446322.6545669463
1665,311433.60682158323
1666,301419.68686686654
1667,347472.2491310541
1668,325550.070925292
1669,292158.91014798207
1670,341897.4145889128
1671,269179.19064805546
1672,453544.2323653889
1673,316524.5122711091
1674,246926.54244387528
1675,181765.46889285906
1676,180686.17967252043
1677,216916.8509113301
1678,439254.99000612757
1679,381330.28534675314
1680,335292.6266497241
1681,262354.35464610934
1682,296440.22172853723
1683,175824.52373201356
1684,171096.291663538
1685,168876.03176165966
1686,166778.84279046603
1687,166047.2517059267
1688,182277.77378439592
1689,189398.42567716632
1690,186134.53650846766
1691,182483.43267811462
1692,267835.1329619367
1693,165830.2524525821
1694,184057.5309938288
1695,167230.0770611691
1696,278835.63085448847
1697,170256.79059744778
1698,383663.5293552261
1699,346341.49137303635
1700,244715.53288972162
1701,259140.35850011054
1702,253801.90864311697
1703,241483.03713119891
1704,302373.27962610964
1705,227218.1063727817
1706,457807.204253293
